File	Label	Pixels	Line
data/maps/CeladonCave/text.inc	CeladonCave_Text_LanceAftermath	152	LANCE: I followed GIOVANNI
data/maps/CeladonCave/text.inc	CeladonCave_Text_LanceAftermath	146	and MEWTWO into this cave,
data/maps/CeladonCave/text.inc	CeladonCave_Text_LanceAftermath	144	opened by MEWTWO's blast.
data/maps/CeladonCave/text.inc	CeladonCave_Text_LanceAftermath	119	GIOVANNI's signal was
data/maps/CeladonCave/text.inc	CeladonCave_Text_LanceAftermath	48	breaking.
data/maps/CeladonCave/text.inc	CeladonCave_Text_LanceAftermath	129	MEWTWO was beginning to
data/maps/CeladonCave/text.inc	CeladonCave_Text_LanceAftermath	98	choose for itself.
data/maps/CeladonCave/text.inc	CeladonCave_Text_LanceRepeat	143	LANCE: MEWTWO fled north.
data/maps/CeladonCave/text.inc	CeladonCave_Text_LanceRepeat	154	GIOVANNI followed it toward
data/maps/CeladonCave/text.inc	CeladonCave_Text_LanceRepeat	83	CERULEAN CAVE.
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwo	202	GIOVANNI: So that is the difference.
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwo	146	I tried to possess MEWTWO.
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwo	150	You faced it as a TRAINER.
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwo	183	Perhaps absolute power was never
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwo	163	something a person could own.
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwo	154	There is nothing left for me
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwo	133	to take from this place.
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwo	170	I will return to VIRIDIAN GYM.
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwoEscaped	87	GIOVANNI: Gone.
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwoEscaped	185	Neither of us could hold it here.
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwoEscaped	183	Perhaps absolute power was never
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwoEscaped	163	something a person could own.
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwoEscaped	154	There is nothing left for me
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwoEscaped	133	to take from this place.
data/maps/CeruleanCave_B1F/scripts.inc	CeruleanCave_B1F_Text_GiovanniAfterMewtwoEscaped	170	I will return to VIRIDIAN GYM.
data/maps/CeruleanCity_House2/text.inc	CeruleanCity_House2_Text_EnormousPokemonBargedIn	166	An enormous POKéMON barged in
